Term,Definition,Originator,Example Use
Fearty Party,LibDem or SNP,SSP,"You can either vote for a Tory Party (Labour or Conservative), a fearty party or a proper socialist party - the SSP."
RLP (updated c. 2005),Ramsay List Persona (abbrev). A proposer of ideas so fanciful and pretentious that they couldn't possibly be true. Could they? Also knows more about footy than anyone else on ML.,Andy,No. I actually DO put chocolates on the pillows in the guest bedroom when I have friends staying. This isn't RLP talking.
Taff,John Griffiths,John Bailey,Where the heck is Taff ? We hardly see him these days. I guess he's waiting for us to talk about music again
Ramsay Music,dismal lo-fi 'Americana',Andy,"can we go somewhere where they're not playing Ramsay Music?".
POTW,"Posting Of The Week. A contribution which is so funny that the list has a collective TOON (qv) moment. Awarded randomly by anyone who sees fit. It is technically not impossible to have several POTWs in a given week. In practice, POTWs happen only rarely",Unk (or someone),POTW. LOL.
Comfortable Shoes,Female equivalent of bowling from the Pavilion End (qv).Also 'Sensible Shoes'.,Andy,""I'm sure that Kirsty Wark favours a comfortable shoe, but she seemed to be giving that laddie out of the Libertines the glad eye..."."
Arch,"Describing a very obvious and widely held opinion that Andy disagrees with, or fails to understand. Or, commonly, both. Not to be confused with 'Ach' as in "Ach, go bile yer heid".",Andy,Boab's suggestion that bears were liable to sh!tting in the woods was surely arch.
Gay,"Un-manly or generally unpleasant and repulsive. Gay things include white headphones, Andy's phone and Jonny Wilkinson. Interestingly bowling from the pavilion end isn't necessarily gay in the list sense.",Trad,"You're gay. No I'm not, you are and so is your Dad.....etc..."
Unk,A distinguished mentor to the group with a justifiably patrician attitude to life and a vicelike grip on the leading edge.,Andy,I'm stumped - let's see what Unk thinks...
soi disant,Some way off in the distance. Nearly out of sight.,Bailey. Possibly Calps.,Not that old Snow Patrol/Keane debate (soi disant) again...
Apostrophal,"the utterly trivial, analysed and deconstructed until all present are comatose or psychotic. Example: the La's 'debate' (soi disant).","boab (lexicography), andy (content)",these apostrophal threads are of no interest to anyone and threaten to undermine the mighty edifice of the List.
POTM,Posting Of The Month. An ill-defined accolade for a posting which exceeds the TOON benchmark of funniness and causes listmembers to die,All,"POTM ! (exeunt omni, dying)"
Look Goldfish!,"A diversionary tactic, unlike Jon's blatant answering a question with a question technique",Leigh,Look Goldfish!
Psychocandy,"1.One of the greatest records ever made. 2.Guillotining device bringing to a close threads, or discussions, deemed too recondite to sustain common interest. See also STFU, FFS shut up etc.",boab,"Psychocandy".
Curb,Non-existent situation comedy invented by Ramsay so he'd seem clever. Dismal arch (qv) humour seldom rises above secateurs (qv) level.,Ramsay,"See Curb last night? TOON stuff." "Yeah. Sure."
"a, an","1. The indefinite article. 2. An ironic term put in front of another word to feign a complete lack of knowledge of something. In fact, of course, it displays a powerful grasp of the subject for those in the know. Sometimes written as 'your' or 'my'","Ramsay, Andy",An internet. Your Skype. His Yahoo Messenger.
Tennis Player,See Comfortable shoes.,Jon Calpin,New Glaswegian burd at work - wears suits and cuff links - so clearly a tennis player...
Neil Lennon,1. Ginger journeyman (qv) footballing twat. 2. Creative ball passing genius (RLP use only).,Ramsay,I think them loyalist boys had the right idea with their Neil Lennon letter writing campaign.
iRiver,"Geeky musical device. It contains a leprechaun that sends out magical rays to the car radio that makes it play non-stop Country and Western (qv). Also OldManRiver, iPlod, whatever weird thing Marty's got etc.",,"Well Mohammed, I've got 374 Country and Western tracks on this. Tell me where bin Laden's hiding or I press play."
PDLS,Posting De La Semaine.  Un contribution qu'est tant humoureux que la liste a un moment TOON (qv) collectif.,Andy,PDLS. ME (qv).
Craic,"Self-conscious expression of spontaneous joy, favoured by slack-jawed, cross-eyed, jug-eared witless peasants all over Oireland (qv), but now, regrettably, spreading to the mainland. To be used only in an ironic sense (if at all) by persons of learning and discernment.",Paddy,""Will ye be going to the pub Froiday ? Oi hear the craic will be noinety over a hoondred, hee hee hee".  Alternative: "I say Jeremy, how was the 'craic' at rugger last night?"."
Le Creuset,Delivering a severe and physical admonishment administered by one's spouse or partner after a night Out With Andy (qv).,(The legendary) Robert Taylor who was actually Le Creuseted with a Le Creuset.,(Andy) Lorraine's going to Le Creuset me when I get in. I said I'd be back three days ago.
Hapless Goth,Marty. Fallen into disuse recently. Deserves to be reinstated.,Andy,Even the Hapless Goth has been to more list nights out than Leigh. And he's been in Canada for years.
Beyond The Pale,"Unacceptable, even by List Standards. Origin unknown. Thought to be one of: (a) Corruption of "Beyond The Pail" meaning going downhill even faster than the bucket in the Jack & Jill nursery rhyme; (b) Describing an illness with more severe symptoms than merely being off-colour; (c) Tasting even worse than fizzy keg Pale Ale",Trad,"Another tedious etymology lesson must surely be beyond the pale, even for Boab."
Pike in a Jam Jar (funny as a),"1. Extremely funny indeed. 2. Strange, and therefore 'funny' in the sense of peculiar",Andy,"Gee whizz. When Sting (qv) came on Wogan with his wee Amazonian mate, you know, the one with a CD drawer instead of a mouth....funny as a pike in a jamjar."
Journeyman,Career choice favoured by most if not all List members,Trad,"You may been "Out With Andy" til 5 but you were still sending work emails before nine this morning. I mean it's hardly journeyman, is it?"
Out with Andy,"A planned night of booze and depravity for which it is difficult to obtain a pass and which would leave you in a worse state than an actual night out with Andy, if such a thing can be imagined. Characterised by the non-involvement of Andy, who for the purposes of this transaction is a 'beard'.",Leigh,""I've told Helen that I'm going 'out with Andy' on Friday, so I'm covered for whatever dire state I get home in"."
White Helmet Display,A collecion of young women draping themselves across a list member in the manner of the White Helmet Display team.,John Bailey,See when we were in Westport a load of young gals draped themselves over Bailey like a White Helmet display troop.
Fat Larry,"Quantification of substantive error. Originated in the widely held but erroneous view that Boab had misattributed soul anthem 'Zoom' to The Commodores rather than Fat Larry's Band. Few realised that Boab was referring to the Commodores hit of the same name, available on almost any Commodores hits collection. Why, they were playing it in Smiths just the other day. Replaced earlier 'Proust/ Sartre farrago' (archaic) in common usage.",Andy,"This was a blunder of Fat Larry proportions."
Give Paper,A sordid act designed to make the recipient feel intellectually sated.,Ramsay,Uhh... give me paper... give me paper... oh yeah... Brief History Of Time... oh yeah... more... more... harder... harder... gimme a harder book... oh yeah... yeah... Rough Guide To Classical Music... aaah... aaah... ... ... ooh... that was lovely.
H2G2,A shortened fillum name used by hippies to refer to something useless. Co-incidentally the length of time taken to say the name and the amount of entertainment in both book and film are identical,"Some hippy, possibly Leigh","If dolphins were really that smart, one of them would go for Chris Martin."
WALOB,"Short retort given by Andy to indicate that the previous poster had made some excellent points that cannot be refuted, but which Andy feels he should protest about anyway, since it upsets his life-view.",Andy,Eating pies and supping pints makes you fat? WALOB!
Namaste Burd,Burd (qv) who wrote the Namaste(qv) Blog (qv). Possibly an ex-colleague of Leigh's who may or may not be going out with Gil (qv),Leigh,"Jeez I hope that Namaste burd doesn't go off on her hols again,"
MFM,"Margarine For Men (abbrev). 1. Boab's wain, named after Terry Wogan advertised non-dairy spread. 2. Not butter.",Andy,
Eating Pudding,Recondite practice much favoured by Canadians of Greek ethnicity.,Marty,""Edmonton is, after all, full of g@y cowboys sitting around 'eating pudding'""
Not,Prefix meaning "the opposite of". Typically used by philosophical cnuts.,Andy,""The opposite of 'not' is 'not-not'. However, the opposite of 'not-not'  is not 'not' but rather 'not-not-not.""
Alt.,"Prefix indicating anything favoured by fey, perpetual student types. Examples include alt.rock (of course), alt.country, alt.pub (drinking house favoured by such types).  Synonyms include ersatz-, faux-, pretend-.",boab,""that's the sort of rubbish (probably Ramsay Music, qv) you'd hear in one of your alt.pubs.""
Mick Hucknall,See Morrissey,,http://www.mickhucknall.com/
Gig Review,"Inordinately long post detailing the insignificant minutiae relating to activities surrounding a visit to a live musical performance.  Under no circumstances should  any mention be made of the actual band or performance. Incidental observations such as the bouncer's choice of footware, or the state of the tiling in the ladies' rest room should be discussed instead.",All,"Gig Review: Hairy Dirtbox at The Kaplinsky Stadium. Outside the train station I popped into Auntie Dora's sandwich shop. As I took my first bite from my Reuben (corned beef, sauerkraut and mustard on toasted rye) I noticed an attractive young lady in tartan docs crossing the street holding a Vote LibDem poster.... (continues on for another 15,000 words)"
Having my sunroom done,A term Kenneth Williams might have used to describe the leisure activities of gentlemen who prefer to "bowl from the pavilion end" (qv).   See also "Navigating a narrowboat through a set of locks",Ramsay,""What do you think you would like to do on your visit to Brighton?" "Not sure, perhaps I'll 'have my sunroom done'"."
Tickled Trout,A gullible person. One who responds over-readily to a stimulus dulled through overuse (cf Psychocandy!) or notable only for its fatuity.,Ramsay,""In responding so readily to Boab's TiVo lure, Andy was once more playing the tickled trout. ""
Zinfandel,Diminutive scouse jock with remarkably resilient head.  Sometimes referred to as "Wee Zin".,Leigh (we hope),Leigh: "I dropped wee Zin on his head last night" (circa Zin aged 4 months old)
The UK does not agree with your analysis,"An opinion which is at best a blag, and at worst complete horseshit. Ramsay often encounters this when attempting to answer interview questions about his 3G (with stick men, dotted lines and cloud-shapes)",Someone who saw Ramsay's analysis of something telecoms-related,I'm afraid the UK does not agree with your analysis. You haven't got the job. Want a taxi number ?
Our Kid,Guitarist in dismal forgettable 80's beat combo,Leigh,"Our kid's playing in Glasgow in August. Anyone want to come? <eerie silence, tumbleweed drifts by>"
Tattie Heid,Wayne Rooney,?,What was Tattie Heid like last night eh? Couldnae hit a coo's erse with a banjo.
Throat Warbelling,"Generic and somewhat derogatory term for world music, particularly that originating in the former Soviet republics. Types include Uzbek and Kazakh. Superb(qv)",Scott,Scott can't go to the boozer tonight because he's going to see a Ukrainian throat-warbelling concert in Glenrothes.
What do you think you're doing?,Expression of concern / disdain directed towards members of the tradesman classes by RLP (qv) types. Pertains mainly to tea cup / marble hearth scenarios.,Ramsay,"What do you think you're doing?"
Million Little Pieces.,The List's favourite book. Ever. Apart from Boab who singularly fails to show any interest in it whatsoever.,Ramsay,I can't believe no-one's read A Million Little Pieces yet" (boab)
Westport,"A mythical paradise, nay, a veritable Shangri-La, where the beer flows freely, the wimmin are abundant and bountiful, and John Bailey is worshipped as a séx-god.",God In Heaven,"John Peel: "This heaven's ok I suppose, but it's hardly Westport"."
Nerve Centering,"A revolutionary form of homeworking characterised by lying in bed watching trash daytime tv with the sound turned down, with mobile and laptop somewhere within 50 yards. Practised by big fans of the horizontal genre.",Ramsay,"I was 'out with Andy' (qv) till 5.30 this morning so I'll be nerve-centering at best today".
Dingleberries (stripping off the),Basic list hygiene. Failure to do so is a major cause of piles (of unread messages).,Boab,Ooh. I'm having trouble going (on the list). Even when I do manage to go I'm only getting wee bits. This is fscking painful. If only I hadn't been so lax in stripping off the dingleberries.
ME,M'Esclaffais. Francais pour LOL. Regardez PDLS.,,
Nobo(Anag.),def. Someone who is more worthy than worthy should allow,Andy,That Nobo is just the latest rock star to think he can save the world
iPlod,A 'humorous' misspelling of iPod. Only used by John B and Andy. Ignored as tedious by everyone else.,John B,"Ramsay - does your iPlod have anything apart from Ramsay-Music (qv) on it ?  If not, I think I'm going to have to jump out of the window of this car in an attempt to commit ritual suicide"
Eglu,An expensive bagatelle. A gentleman's folly.,Bob,"Despite his early enthusiasm, Brian's purchase of a box-set of Fall Peel Sessions was turning out to be an error of almost eglu-esque proportions."
Burd,"Someone who makes dinner, irons and doesn't know how to work a computer. Loobs (qv)",Leigh,Here comes the burd again. Wonder if she'll hang around this time.
Philosophy,1. The pursuit of wisdom by intellectual means and moral self-discipline. 2. Long meaningless rambles about how many Ramones would have to leave or die before The Ramones would cease to be The Ramones.,Andy,Boab: Andy's banging on about philosophy again. Psychocandy!
Condi-Carrott,"The superlative of "Fat Larry" (qv). Originates with Bailey's swallowing - hook, line & sinker - of a piss-poor Independent April Fools gag on unlikely celebrity couples.",JB,"This wasn't simply a Fat Larry moment. This was positively Condi-Carrott!"
Namaste,Cringingly "cute" salutation proffered by tedious globe-trotting french burds with delusions of blog (qv) adequacy. Sorry no pics (qv).,Leigh,Namaste! Yesterday I visited the holy temple of Murnaghan in deepest darkest Kaplinsky.  This is the only class one shrine in the northern hemisphere with its own integral falafel bar and shoe shine emporium.
Gil,Scott. Orig:  from ancient rap poet Gil Scott-Henderson,Boab,WTF is Gil on about?
Absolute Arse Head,See Mick Hucknall,,
Ramsay Night Out,A sociable evening in a public house or similar establishment. Characterised by the non-appearance of Ramsay.,Unknown,"List: "Hey Ramsay, are you showing up for next week's Ramsay Night Out?". Ramsay: "Not bloody likely.""
Bowl from the pavilion end,"To adopt or assume the homosexualist lifestyle.  See also 'light in the loafers', 'friends of Dorothy', 'taking a narrowboat through the Dales', 'good with colours', 'puddle-jumping', 'lone striker' etc.","Obscure, poss. trad.",""Not that it's a problem to me, but I suspect the new man in Marketing may 'bowl from the pavilion end'.""
Country and Western,Root node on Ramsay's iRiver (qv). Also: American musical genre associated with the line-dancing plague. Characterised by songs where the author's 'baby done gone left them' and probably 'didn't say a word'. Abbreviated to C&W.,John B,Should I characterise Billy Bob Wittgenstein as C&W - Americana or C&W - Americana - Roots - Arkansas.
Sub-optimal,Management w@nk term used to describe a disaster of biblical proportions.,Andy,""Control, this is the Space Shuttle Challenger. Things are erm... sub-optima..." <BANG!>"
Bronco Busters,Legendary Norwegian disposable bubblegum pop/rock babes whose drummer has major crush on Brian.,Brian,"Although Marty raved enthusiastically about the new Hairy Dirtbox album, it rarely rose above proto Bronco Buster levels."
Bronco Busters Syndrome,Delusionary state characterised by impression that tasty foreign wimmin find you devilishly attractive.,Everyone except Brian,As the Cloone ladies gaelic football team clambered all over Bailey he thought to himself "This is no Bronco Busters Syndrome - this is the real thing!"
New Low,"A regular and routine occurrence. Indicates that subject matter of previously undreamt-of banality is being plumbed. Examples have included golf, chickens, motahs, anything to do with ecology, food or music of black origin (apparently) unless delivered by shouty geezers in baseball caps and hoodies and that.",?,Andy's robust defence of Michael Jackson's childcare prowess was surely a new low for the list. The 17th new low since 10:30 this morning in fact.
Vestibule,Cavity or chamber used for the display of ornamental parachutists.,Ramsay (quelle surprise),
Scotch,Descriptive of person or persons originating from Scotland.,everyone,"Just because you're Scotch is no reason not to support England".  "Is this where your Mary Queen of Scotchland lived?".
Shove Ha'penny,A recreational pursuit involing rolling coins while the tips of a lady's cowboy boots are inserted up your nostrils,Andy,
Rudimentary Peni (RP),1. Obscure thrash band that resurfaces from time to time to produce an EP of noise. 2. The foremost band to have their lead singer sectioned under the 1998 Mental Health Act and possibly the most influential band ever.,Andy,"The so-called "Beatles" are certainly mildly influential, but they're hardly Rudimentary Peni, are they ?"
Morrissey,See Absolute Arse Head,,
Labour,Reactionary right-wing political party. Tory.,Trad,I'm a self-satisfied rich arrogant tosser. So naturally I'll be voting Labour
Chocolate Hob-Nobs,Sexual favours. Esp. when offered by spouse to manual workers or tradesmen.,Boab,When I got home I was suprised to see the pipe-work only half-finished and the plumber helping himself to the chocolate hob-nobs.
Influenced By Rudimentary Peni,Unlistenable,Scott,"Cheap Trick obviously listened to the Beatles, The Raveonettes have heard the Mary Chain before, The Mars Volta were influenced by Rudimentary Peni"
Blind Alabamans,"Whilst they do not actually exist, the Blind Alabamans are indicative of a new low (qv) in dismal 'world music'. Promoted by Gil (qv) as superb (qv)",Andy,Scott - do you ever listen to anything other than Uzbek throat-warblers or the Blind Alabamans ? Why not crack out the Ramones for a change ? You'll feel better for it.
Lucinda Williams,A famous showjumper who'll be forgotten in 12 months time,Not Andy,I have no problem with show jumping per se. So long as we're talking hairy sweary Harvey Smith type stuff. But Ramsey's obsession with this Lucinda Williams nonsense beggars belief.
Loveless,1. The greatest record made in the last 20 years. 2. The most over-rated record made in the last 20 years.,Andy,"In order to fully appreciate Loveless you must play it at bone-shaking volume. It's gotta hurt". "Yeah - but it's still shit".
Irony,what no-one ever gets. Sometimes intentionally.,omni,
Sting,Uberc*nt. Superlative of c*ntish,All,"I am c*ntish. You are more c*ntish. He is Sting. "O Sting, where is thy death" (Shakespeare),"
SarahCarla,Semi-mythical List love goddess from the fabled land of Leitrim. What members will see when their points are claimed from the Dead Pool spreadsheet. Brian has a temple web-site.,John B,"Well that Scarlett Johanssen's all very nice but not as good-looking as SarahCarla".
Celticfeet,"Bizarre 'handle' used by listmember Gil (qv). Presumed to be done so as to look mysterious and interesting but sadly we can all tell who it is anyway. See also 'cocopops', 'boy_mcgenius' etc. Strange","Gil, John B, Brian etc",Celticfeet2001:  You are all tossahs. (thinks: they'll never guess it's me)
OCS,Ocean Colour Scene (abbrev). Superlative of mediocre.,Trad,I am mediocre (as IoJ standards demand). You are Stereophonics. They are OCS.
East 17,A band that Brian Harvey was in.,Ramsay,I love that Brian (Ramsay)
